rank,company,no_of_employees,rank_change,revenues,revenue_change,profits,profit_change,assets,market_value
1,Walmart,2200000.0,-,523964.0,0.02,14881.0,1.23,236495.0,321803.3
2,Amazon.com,798000.0,3.00,280522.0,0.21,11588.0,0.15,225248.0,970680.1
4,Apple,137000.0,-1.00,260174.0,-0.02,55256.0,-0.07,338516.0,1112640.8
5,CVS Health,290000.0,3.00,256776.0,0.32,6634.0,,222449.0,77375.8
6,Berkshire Hathaway,391500.0,-2.00,254616.0,0.03,81417.0,19.25,817729.0,442897.1
7,UnitedHealth Group,325000.0,-1.00,242155.0,0.07,13839.0,0.16,173889.0,236555.2
9,AT&T,247800.0,-,181193.0,0.06,13903.0,-0.28,551669.0,209387.5
11,Alphabet,118899.0,4.00,161857.0,0.18,34343.0,0.12,275909.0,798905.3
12,Ford Motor,190000.0,-,155900.0,-0.03,47.0,-0.99,258537.0,19150.6
17,JPMorgan Chase,256981.0,1.00,142422.0,0.08,36431.0,0.12,2687379.0,276750.1
18,General Motors,164000.0,-5.00,137237.0,-0.07,6732.0,-0.16,228037.0,29694.7
20,Verizon Communications,135000.0,-1.00,131868.0,0.01,19265.0,0.24,291727.0,222220.0
21,Microsoft,144000.0,5.00,125843.0,0.14,39240.0,1.37,286556.0,1199549.7
25,Bank of America,208131.0,-,113589.0,0.03,27430.0,-0.03,2434079.0,185226.9
28,Comcast,190000.0,4.00,108942.0,0.15,13057.0,0.11,263414.0,156533.3
30,Wells Fargo,259800.0,-1.00,103915.0,0.03,19549.0,-0.13,1927555.0,117365.7
31,Citigroup,200000.0,-1.00,103449.0,0.07,19401.0,0.08,1951158.0,88376.5
33,General Electric,205000.0,-12.00,95214.0,-0.21,-4979.0,,266048.0,69406.1
34,Dell Technologies,165000.0,-,92154.0,0.02,4616.0,,118861.0,29246.2
35,Johnson & Johnson,132200.0,2.00,82059.0,0.01,15119.0,-0.01,157728.0,345704.9
38,IBM,383800.0,-,77147.0,-0.03,9431.0,0.08,152186.0,98551.1
39,Raytheon Technologies,243200.0,7.00,77046.0,0.16,5537.0,0.05,139716.0,81705.3
40,Boeing,161100.0,-12.00,76559.0,-0.24,-636.0,-1.06,133625.0,84148.6
45,Intel,110800.0,-2.00,71965.0,0.02,21048.0,,136524.0,231661.9
49,Walt Disney,223000.0,4.00,69570.0,0.17,11054.0,-0.12,193984.0,174405.4
82,Oracle,136000.0,-1.00,39506.0,-0.01,11083.0,1.9,108709.0,152412.7
